Timestamp,Temperature (°F),Humidity (%)
2024-12-25 05:16:57,66.56,62.0
2024-12-25 05:21:59,66.56,62.0
2024-12-25 05:26:56,66.74,62.0
2024-12-25 05:31:55,66.74,61.0
2024-12-25 05:36:57,66.74,61.0
2024-12-25 05:41:55,66.56,61.0
2024-12-25 05:46:57,66.56,62.0
2024-12-25 05:51:55,66.56,62.0
2024-12-25 05:56:58,66.56,62.0
2024-12-25 06:01:56,66.56,62.0
2024-12-25 06:06:58,66.56,63.0
2024-12-25 06:12:01,66.56,63.0
2024-12-25 06:16:58,66.56,63.0
2024-12-25 06:22:01,66.38,62.0
2024-12-25 06:27:03,66.38,62.0
2024-12-25 06:32:04,66.38,62.0
2024-12-25 06:37:02,66.38,62.0
2024-12-25 06:42:04,66.38,62.0
2024-12-25 06:47:02,66.38,62.0
2024-12-25 06:52:04,66.38,62.0
2024-12-25 06:57:07,66.38,61.0
2024-12-25 07:02:04,66.2,61.0
2024-12-25 07:07:07,66.2,61.0
2024-12-25 07:12:04,66.2,61.0
2024-12-25 07:17:07,66.02,61.0
2024-12-25 07:22:09,66.02,61.0
2024-12-25 07:27:07,66.02,61.0
2024-12-25 07:32:09,65.84,61.0
2024-12-25 07:37:12,65.84,61.0
2024-12-25 07:42:09,65.84,61.0
2024-12-25 07:47:12,65.66,61.0
2024-12-25 07:52:14,65.66,61.0
2024-12-25 07:57:12,65.66,61.0
2024-12-25 08:02:14,65.48,61.0
2024-12-25 08:07:12,65.48,61.0
2024-12-25 08:12:14,65.48,61.0
2024-12-25 08:17:17,65.3,61.0
2024-12-25 08:22:14,65.3,61.0
2024-12-25 08:27:17,65.3,61.0
2024-12-25 08:32:19,65.3,61.0
2024-12-25 08:37:17,65.12,61.0
2024-12-25 08:42:20,65.12,61.0
2024-12-25 08:47:18,65.12,61.0
2024-12-25 08:52:20,65.12,61.0
2024-12-25 08:57:23,65.12,61.0
2024-12-25 09:02:20,65.12,61.0
2024-12-25 09:07:23,65.12,61.0
2024-12-25 09:12:20,64.94,61.0
2024-12-25 09:17:23,64.94,61.0
2024-12-25 09:22:25,64.94,61.0
2024-12-25 09:27:23,64.94,61.0
2024-12-25 09:32:25,64.94,61.0
2024-12-25 09:37:28,64.94,61.0
2024-12-25 09:42:25,64.94,61.0
2024-12-25 09:47:28,64.94,61.0
2024-12-25 09:52:25,64.94,61.0
2024-12-25 09:57:28,64.76,61.0
2024-12-25 10:02:30,64.76,61.0
2024-12-25 10:07:28,64.76,60.0
2024-12-25 10:12:30,64.94,60.0
2024-12-25 10:17:33,64.76,60.0
2024-12-25 10:22:30,64.76,60.0
2024-12-25 10:27:33,64.76,60.0
2024-12-25 10:32:30,64.76,60.0
2024-12-25 10:37:33,64.76,60.0
2024-12-25 10:42:35,64.76,60.0
2024-12-25 10:47:33,64.76,60.0
2024-12-25 10:52:35,64.76,60.0
2024-12-25 10:57:38,64.76,60.0
2024-12-25 11:02:35,64.76,60.0
2024-12-25 11:07:38,64.76,60.0
2024-12-25 11:12:40,64.76,60.0
2024-12-25 11:17:38,64.58,60.0
2024-12-25 11:22:40,64.58,59.0
2024-12-25 11:27:38,64.76,59.0
2024-12-25 11:32:40,64.58,59.0
2024-12-25 11:37:43,64.76,59.0
2024-12-25 11:42:40,64.76,59.0
2024-12-25 11:47:43,64.58,59.0
2024-12-25 11:52:45,64.58,59.0
2024-12-25 11:57:43,64.58,59.0
2024-12-25 12:02:45,64.58,59.0
2024-12-25 12:07:43,64.58,59.0
2024-12-25 12:12:45,64.58,59.0
2024-12-25 12:17:48,64.58,59.0
2024-12-25 12:22:45,64.58,59.0
2024-12-25 12:27:48,64.58,59.0
2024-12-25 12:32:50,64.58,59.0
2024-12-25 12:37:48,64.58,59.0
2024-12-25 12:42:50,64.58,59.0
2024-12-25 12:47:48,64.58,59.0
2024-12-25 12:52:50,64.58,59.0
2024-12-25 12:57:53,64.58,58.0
2024-12-25 13:02:54,64.58,58.0
2024-12-25 13:07:52,64.58,58.0
2024-12-25 13:12:55,64.58,58.0
2024-12-25 13:17:52,64.58,58.0
2024-12-25 13:22:55,64.58,58.0
2024-12-25 13:27:57,64.58,58.0
2024-12-25 13:32:55,64.58,58.0
